sentence	relation 
When shown the location of the drugs, the investigators noted that the <e1>drugs</e1> were in a <e2>box</e2> in a closet, and were not stored in a securely locked, substantially constructed cabinet, as required.	4
The system as described above has its greatest application in an arrayed <e1>configuration</e1> of antenna <e2>elements</e2>.	3
<e1>Mosquitoes</e1> are spreading into new <e2>places</e2>, bringing malaria and dengue fever with them.	6
It is an international <e1>newsletter</e1> designed to inform about <e2>work</e2> in progress, conferences, publications, etc.	14
It was an immense <e1>flight</e1> of <e2>gulls</e2>, seamews, and cormorants; a vast multitude of affrighted sea birds.	13
The cat's large and prominent <e1>eyes</e1> are placed well forward on the <e2>head</e2> and, like the eyes of humans, they face forward.	2
The <e1>book</e1> by the death-march <e2>survivor</e2> constitutes the basis of the case.	16
Notwithstanding the use of special assembly techniques, it is currently quite common to find, downstream of the assembly line, known radiator caps with the small <e1>spring</e1> of the low-pressure <e2>valve</e2> imperfectly aligned with one of its necessary bearing surfaces and/or with the shutter, which leads to unpredictable operation of the radiator cap and consequent rejection of the product.	2
The above exceptions fully resolved the evaluation of a <e1>photograph</e1> by a <e2>court</e2> as a result of the claim.	18
With the end of his task, Gibbon felt that ambiguous elation known to all <e1>authors</e1> who have completed a weighty <e2>work</e2>.	17
The <e1>nitric oxide</e1> was contained in a large <e2>gold-plated cylinder</e2> in which it was ionized by krypton resonance radiation.	4
This is how grain was delivered to the wooden grain bins and <e1>hay</e1> was put inside the upper part of the rock <e2>barn</e2>.	6
The <e1>statement</e1> comes from the writer's <e2>knowledge</e2> and its ideas are fresh and original.	8
Robert Pattinson wears a <e1>suit</e1> for a cemetery <e2>scene</e2> on location.	18
Their chemical <e1>activation</e1> by <e2>light</e2> (halogen, plasma, lasers, etc.) enhances their efficiency by reducing exposure time and number of appointments.	1
This is a short <e1>film</e1> with 12 minutes duration on the <e2>life</e2> of a live statue - a mimo - on the streets of Florence, Italy.	14
Meanwhile the <e1>appellant</e1> had left the <e2>house</e2>.	8
A German <e1>soldier</e1> attaches a EUFOR <e2>sign</e2> to a vehicle.	11
Serious troubles have dragged the infamous <e1>actress</e1> into <e2>chaos</e2>.	18
Despite previous <e1>statements</e1> asserting their <e2>innocence</e2>, both Titus and Ryan pleaded guilty to various charges on May 30.	14
Less <e1>obedience</e1> was extracted from <e2>subjects</e2> in this case.	18
A talon is the <e1>claw</e1> of a<e2>bird</e2> of prey.	2
This oil company imports <e1>oil</e1> to some <e2>countries</e2> illegally.	6
The standard soccer <e1>ball</e1> is made of synthetic <e2>leather</e2>, usually polyurethane or polyvinyl chloride, stitched around an inflated rubber or rubber-like bladder.	8
This short <e1>tract</e1>, among other things, contains a description of the psychosomatic <e2>method</e2>.	14
The <e1>findings</e1> have been published in a special <e2>section</e2> of the academic journal Archives of Sexual Behavior.	18
The <e1>surgeon</e1> cuts a small <e2>hole</e2> in the skull and lifts the edge of the brain to expose the nerve.	17
The red indicator <e1>light</e1> on my <e2>telephone</e2> continues to blink after I have checked and emptied my mailbox.	2
The <e1>document</e1> is stored in the proper <e2>folder</e2> as a text.	4
Relieve spinal stenosis by enlarging the spinal canal to relieve <e1>pressure</e1> on the spinal cord that has been caused by a herniated or bulging <e2>disc</e2>.	1
The <e1>report</e1> informed about <e2>casualties</e2> in the area.	14
The melt water has transported <e1>sediments</e1> into the <e2>lake</e2>.	6
The <e1>email marketing</e1> is landing into the <e2>spam folders</e2> decreasing the ROI for these programs.	6
The concept car Acura TL features a wiperless <e1>windscreen</e1> using a series of jet <e2>nozzles</e2> in the cowl to blow pressurized air onto the windscreen.	3
My manager's <e1>desk</e1> has been moved up to the top <e2>floor</e2>.	6
We take <e1>multivitamin</e1> that contains <e2>vitamins</e2> D, E, K, and beta-carotene.	18
As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>.	18
The mechanism transported <e1>dust</e1> into shadowed <e2>regions</e2>.	6
In other words, when the <e1>teacher</e1> is the source of the <e2>information</e2>, the learning path tends to be teacher-to-learner.	9
A remarkable <e1>combination</e1> of favourable <e2>circumstances</e2> saw the technology progress from the innovation phase - its trial in prototype form - through to adoption and widespread use, in only a few years.	18
Describing all of the <e1>harm</e1> caused by the <e2>hurricane</e2> has filled entire books so this Web page summarizes the total damage and focuses on the damage incurred on Long Island, New York.	1
This introductory <e1>text</e1> makes a threefold contribution to the undergraduate <e2>literature</e2>.	18
The Tuxtlas <e1>area</e1> is the source of the olivine-augite <e2>basalts</e2>.	9
During this period of time, when a <e1>soldier</e1> joins the <e2>army</e2>, he has to buy his own war horse and weapons.	12
More important <e1>advantages</e1> are related to the <e2>position</e2> of a left-handed first baseman with respect to the base.	18
This <e1>exhibition</e1> involves <e2>literature</e2> and ethics as well as science and history.	14
<e1>Chimpanzees</e1> make <e2>tools</e2> and use them to acquire foods and for social displays.	17
The PI <e1>login</e1> is created by the <e2>administrator</e2>.	16
The <e1>advertising campaign</e1> for the <e2>film</e2> also emphasized the supposed historical accuracy.	14
His <e1>rival</e1> won the nod with a <e2>pledge</e2> to spend $500000 of his own money on the race.	17
We inserted <e1>marks</e1> into the heap profiling <e2>output</e2> programmatically.	6
After the distraught <e1>cub</e1> runs away from <e2>home</e2>, a mischievous storyteller called Bonifacio sweet-talks him into performing on stage.	8
<e1>Standards</e1> at a secondary school are criticised in a <e2>report</e2> by the inspection body.	15
13, students were evacuated from Conrad Residence for approximately 15 minutes after <e1>burnt food</e1> in one of the kitchens set off the fire <e2>alarm</e2>.	0
His site shows some <e1>pottery</e1> by well known <e2>potters</e2>.	16
Nearly two-thirds of all burglaries involve forced entry, and they succeed partly because of flimsy <e1>door</e1> <e2>locks</e2> and mounting hardware.	3
The <e1>removal</e1> duplicate songs is done with the user-friendly start-up <e2>wizard</e2>.	18
The <e1>book</e1> involves the reader in many other <e2>themes</e2> of vital relevance to everyone.	14
Here are some ways to avoid mindless eating and boost your weight <e1>loss</e1> from <e2>running</e2>.	1
When the <e1>hobo</e1> leaves the next <e2>morning</e2>, Dick notices that on the gate is a picture of a knife.	18
They packed <e1>saltpetre</e1> into thin-size bamboo <e2>sticks</e2>.	6
Overall the <e1>guide</e1> speaks about creative and dynamic <e2>interactions</e2>.	14
Many <e1>archaeologists</e1> have fallen into a <e2>trap</e2> while working to solve the secret of this pyramid.	6
It was originally assumed that the ingredients responsible for drug interactions were the flavonoids that give <e1>grapefruit</e1> <e2>juice</e2> its bitter taste.	9
Previously, the end <e1>user</e1> machined the wrenches with a high-speed steel pull <e2>broach</e2>.	11
In recent years, <e1>opinions</e1> on classical drive theory have fallen into contending <e2>groups</e2>.	12
The undernourished kittens were 'rehabilitated' with ad libitum access to <e1>food</e1> from six <e2>weeks</e2> of age onwards, and eventually achieved normal body size.	18
Another <e1>deputy</e1> from coalition <e2>party</e2> resigns in Turkey.	12
The southern <e1>supercell</e1> produced the longest <e2>tornado track</e2> of the outbreak (tornado #4).	0
The <e1>robbers</e1> ran away from the <e2>store</e2> without any money.	8
Like a <e1>carpenter</e1> wielding an <e2>axe</e2> to make furniture, the hacker does good things with his skills.	11
This was meant to represent the resting of the <e1>maize</e1> <e2>spirits</e2> until the next harvesting period came around.	18
The inhabitants send messages to each other by placing the <e1>message</e1> in a <e2>capsule</e2> and placing the capsule in a message tube.	6
I dragged the <e1>files</e1> into the file sharing <e2>folder</e2>.	6
A gasoline <e1>engine</e1> powers a hydraulic drive <e2>train</e2> that provides torque at all six wheels.	2
The <e1>church</e1> comprises six <e2>portals</e2>, representing different architectural styles from Gothic to Renaissance style.	3
Car makers moved <e1>production</e1> into another <e2>country</e2> for cheap labors.	6
<e1>Brake</e1> <e2>cable</e2> anchor bolts are the most important fasteners on a bicycle.	3
I am installing lights under the <e1>cabinets</e1> in my <e2>kitchen</e2>.	2
This comprehensive <e1>book</e1> discusses both the human and the natural <e2>history</e2> of the islands of California.	14
The <e1>test results</e1> are entered into the electronic <e2>logbook</e2>.	6
CN Railway <e1>labour dispute</e1> goes into <e2>arbitration</e2>.	6
The biggest broadcast was on election eve, when a <e1>hookup</e1> of twenty-six <e2>stations</e2> carried Coolidge's speech.	13
The <e1>missis</e1> won the lottery with a <e2>ticket</e2> she didn't tell you about.	11
The <e1>money</e1> getting through from our own third-world bankrupt economy is drained into corrupt dictators' <e2>accounts</e2>.	6
We have exported <e1>products</e1> to domestic <e2>locations</e2> only.	6
This <e1>code</e1> constructs a triangle from a set of three <e2>lines</e2>.	11
My <e1>husband</e1> actually made me a teddy <e2>bear</e2> when we got married.	17
<e1>Glaucoma</e1> is one of the leading causes for <e2>blindness</e2> and currently about 90 million patients worldwide are affected by the disease.	0
The <e1>student</e1> demonstrates his/her understanding through active <e2>participation</e2> in the learning process.	18
Two <e1>plants</e1> were producing cold-smoked <e2>salmon</e2>, the third plant was producing semi-preserved herring and the fourth plant was producing caviar.	17
The <e1>granules</e1> and the pebbles are caused by a <e2>magnetic force</e2> to collide with one another, thereby resulting in liberation of the oxygen molecules contained in the granules and the pebbles.	18
On the Seleucid right flank Atticus deployed the elite companions screened by a single <e1>unit</e1> of Scythian horse <e2>archers</e2>.	13
The current list includes pumpkin ale, local hops ale and an organic wheat and <e1>oats</e1> <e2>ale</e2>.	9
As I was entering the bathroom, I grabbed the <e1>door</e1> <e2>knob</e2> and it felt loose and hollow, like cheap crap.	3
The <e1>organization</e1> helps educate practitioner <e2>dentists</e2> through clinical meetings.	18
<e1>Rain</e1> comes from evaporated <e2>seawater</e2>, transferring not just water but the solar energy that took it from the sea.	8
She placed the <e1>bottle</e1> in a <e2>jug</e2>, filled this with freshly boiled water, and placed it on a low table for ease of access.	6
Even so, the labour involved in the meticulous copying of a text made a <e1>book</e1> produced by a professional <e2>scribe</e2> a comparatively expensive luxury.	16
I've never seen anything like it in my life: they have a whole <e1>town</e1> of prarie <e2>dogs</e2>.	18
The <e1>bomb</e1> was discovered placed inside a <e2>rubbish bin</e2>.	4
We saw an <e1>aerie</e1> of eleven <e2>eagles</e2> soaring majestically alongside us on the heights of Monte Espino.	13
The reference <e1>signal</e1> was generated from an auxiliary <e2>photomultiplier</e2> (RCA 1P28) with a quantum counter.	1
The rap star was apprehended at John Wayne Airport late last month and his <e1>truncheon</e1> was confiscated by <e2>police</e2>.	18
The <e1>necromancer</e1> wields the <e2>power</e2> of death itself, a power no enemy can stand against.	11
<e1>Stereograph</e1> produces the same <e2>output</e2>.	17
The damage in Washington was so much less than the <e1>damage</e1> caused by the 1994 Northridge <e2>earthquake</e2>, despite that their magnitudes were so similar-- 6.8 vs. 6.7.	1
Scientists discovered that these <e1>drugs</e1> were related to heart valve <e2>disease</e2>.	0
The newer lesser-known attraction that the kibbutz offers is a reconstructed <e1>oil</e1> <e2>press</e2> whose beginnings can be traced to the early 20th century in Jaffa.	18
More recently they concluded the <e1>arsenic</e1> originated in iron oxide <e2>coatings</e2> of rocks lining the aquifer.	8
So if you see a solitary Dutch cyclist stopping at a red light while the others gallop on like a <e1>sneak</e1> of famished <e2>weasels</e2>, it's probably me.	13
My 92 rangers <e1>drivers</e1> <e2>wheel</e2> is clicking or grinding all the time going down the road.	11
A more coded <e1>reproof</e1> came from the <e2>chairman</e2> of parliament's foreign affairs committee.	16
The <e1>water</e1> was in a <e2>cup</e2>.	4
The pontiff's <e1>body</e1> was contained in a plain <e2>cypress coffin</e2>.	4
I saw his piece in The Post this morning, and it is predicated on a <e1>bunch</e1> of erroneous <e2>conclusions</e2>.	13
They are arranged on the chart in accordance with their position relative to the <e1>aircraft</e1>'s arrival from the en route <e2>structure</e2>.	8
A chicken <e1>skin</e1> is cooked inside a <e2>carafe</e2> after having been stuffed with its own meat.	4
The oculomotor <e1>nerve</e1> rests in a <e2>cistern</e2> within the sinus roof.	2
The <e1>launch</e1> has been rescheduled to <e2>next month</e2> due to bad weather.	6
The <e1>locker</e1> contained a big fluffy <e2>robe</e2> for me to change into.	5
<e1>Shrinkage</e1> from <e2>washing</e2> has always been considered a serious problem for cotton knitted fabrics.	1
In New York, I had dinner with a <e1>friend</e1> who graduated from a prominent evangelical <e2>college</e2>; he was active in a pro Israel student organization.	8
Entering a <e1>community</e1> of <e2>minds</e2> is conceptualized as a theoretical framework for understanding social cognitive development during the preschool years.	13
The <e1>results</e1> are often displayed in <e2>charts</e2> or written as narratives.	3
In the corner there are several gate captains and a <e1>legion</e1> of Wu <e2>crossbowmen</e2>.	13
"""Morning Sickness"" is a bit of a misnomer, as <e1>nausea</e1> from <e2>pregnancy</e2>; it can happen at any time of the day."	1
The group made the <e1>cover</e1> of Rolling Stone <e2>magazine</e2> on March 29, 1973, 3 months after this was released.	2
Flag <e1>holders</e1> have been pushed into the <e2>floor</e2> to remove the bump on top of the flag.	6
The student moved his <e1>digressions</e1> into <e2>footnotes</e2>.	6
A system for attaining an impedance match uses an <e1>array</e1> of collinear <e2>dipoles</e2>.	13
The <e1>course</e1> scaled the mountain via a very muddy <e2>run-up</e2>.	3
He put on a gold pointed hat and read out <e1>jokes</e1> from the <e2>crackers</e2>.	8
The <e1>corporation</e1> has constructed <e2>railways</e2> in Ukraine, Guinea, Iran, Iraq, and Syria.	17
The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports.	18
The retailers poured <e1>resources</e1> into promoting low-alcohol <e2>wine</e2>.	18
Several of the street's whores had wended their way through the crowd and now cooed like a <e1>cote</e1> of perfumed <e2>doves</e2> as they strove to press their exposed flesh to him.	13
Microorganisms in your oral flora gain access to the pulp chamber and <e1>root canals</e1> in the affected <e2>tooth</e2>.	2
The <e1>booby trap</e1> Puller stepped on was made with a <e2>howitzer shell</e2>.	3
A planted <e1>bomb</e1> put inside a sedan <e2>car</e2> exploded in front of the fine arts institution at Mansour neighborhood.	4
Before heading down the <e1>phone</e1> <e2>operator</e2> career path, you need to examine whether you possess the skills for this type of position.	10
The <e1>bail</e1> of the <e2>pendant</e2> is created in dimensional lattice weave.	2
The exit portion of the <e1>runway</e1> is cantilevered from the support <e2>stanchion</e2>.	18
"The ending consists of a long <e1>speech</e1> by the <e2>narrator</e2> informing us that ""there was no monster."""	16
Mrs. Bissell then gathered the <e1>parts</e1> in a clothes <e2>basket</e2> and took them back to a room above the store for assembly.	6
The combined <e1>beam</e1> forms a picture using a light <e2>valve</e2>.	11
John Wing used it every time he put a <e1>ring</e1> into a <e2>bore</e2> to ensure he wouldn't get a false reading.	6
A remote <e1>slope</e1> of Nevado Mismi, a 5316 m peak, is the ultimate source of the <e2>river</e2>.	18
<e1>Bar</e1> builds guillotine out of beer <e2>cans</e2> to protest Atlantic Yards.	11
<e1>Ginger</e1> <e2>wine</e2> is a fortified wine made from a fermented blend of ground ginger and raisins that was first produced in England.	9
Shigang Chen and Liman Wei, both of Santa Clara, Calif., and Partha Bhattacharya of Cupertino, Calif., have developed a method for removing redundancies from a <e1>list</e1> of <e2>data structures</e2>.	13
The <e1>acid</e1> is kept in a level-controlled <e2>tank</e2> (with a controller and an alarm in the event of low acid level).	4
The <e1>plane</e1> went away from the <e2>runway</e2> and burst into flames.	8
The above <e1>advertisement</e1> is from the server <e2>provider</e2> not from me.	16
The <e1>suffering</e1> caused by the <e2>bleeding</e2> depends on where the arteriovenous malformation is located.	1
For a few more years the <e1>surplus</e1> is generated by the <e2>excess</e2> of Social Security tax revenue over benefits paid to today's elderly and disabled.	1
The focus of the German <e1>professor</e1>'s <e2>paper</e2> was very relevant to the main subject of the conference.	17
The waiter returns with a <e1>bottle</e1> full of <e2>wine</e2>, pours a small amount in the glass for tasting.	5
Then, in May, 2005, the <e1>government</e1> produced the <e2>factual return</e2>, as ordered by the District Court.	17
The <e1>air</e1> in the <e2>jar</e2> started circulating to the rest of the room.	4
Scientists recently succeeded in wiping out a nasty <e1>memory</e1> from the mind of a genetically-engineered <e2>mouse</e2>.	18
The <e1>detectives</e1> have been dragged into a mysterious <e2>case</e2>.	18
This <e1>apartment</e1> has a recently redone <e2>kitchen</e2> and bathroom and gets lots of light.	3
A pious <e1>lady</e1> having built a <e2>church</e2> under the invocation of the Blessed Virgin, on the high road to Bethlehem, Longinus refused her request that his pupil should undertake the charge of it.	17
The fresh Muslim <e1>anger</e1> has been caused by the opening <e2>speech</e2> delivered by Pope Benedict XVI on September 12, 2006.	1
This year's newest attractions include a dedicated music zone which takes you on a musical journey around the world and gives you a chance to experience musical <e1>ecstasy</e1> from different <e2>cultures</e2>.	18
The faded <e1>glamour</e1> of American roadside diners, cinemas and motels is the subject of a new photography <e2>exhibition</e2> at the Fox Talbot Museum.	15
At its height, the Whiskey Rebellion involved thousands of Pennsylvania farmers being taxed on <e1>rye</e1> <e2>liquor</e2>, their chief export.	9
The <e1>alkali</e1> was contained in a <e2>nickel crucible</e2> with a loose lid having openings for the stirrer and for the passage of nitrogen.	4
Everything's been done, all interventions applied and everyone has worked hard at motivating that <e1>cohort</e1> of underperforming <e2>students</e2>.	13
The concert closes with the young <e1>composer</e1>'s take on another <e2>aria</e2> from Guilio Cesare, the notoriously tricky Al lampo dell'armi.	18
The <e1>coils</e1> were inserted radially into the stator's open <e2>slots</e2>.	6
Only then did I notice an <e1>ambush</e1> of <e2>tigers</e2> pacing us on the far shore.	13
The executioners have carried the <e1>scholar</e1> into <e2>exile</e2>.	18
I'm finding the most <e1>joy</e1> comes from Asian <e2>flavours</e2>; beautiful fresh fish; things that have been marinated; roasted vegetables; meats that intensify in flavour during the cooking process; and dishes made from the most brilliant, fresh, in-season food.	1
The <e1>measurement</e1> was made using a gonio-photometric color measurement <e2>system</e2>.	18
These are some of the many ways in which Hitler and the Nazi <e1>party</e1> used <e2>propaganda</e2> in order to brainwash and manipulate people into thinking that the Nazi party was a good party to be in.	11
When the <e1>patriarch</e1>, Abram, left his native <e2>land</e2>, God made him a tremendous promise.	8
As we left, three liberated Frenchmen drove up in a car they had captured a few minutes before and tried to make their way through the <e1>jam</e1> of jabbering <e2>women</e2>.	13
BMW or Bavarian Motor Works is a German <e1>car</e1> and motorcycle <e2>manufacturer</e2>.	16
New <e1>words</e1> are manually added into phone <e2>dictionaries</e2>.	6
They're bringing in applications such as catalog management and order <e1>fulfillment</e1> from <e2>vendors</e2>, then laboriously developing and integrating those applications themselves.	18
She has fetched the <e1>poodle</e1> into the same <e2>acre</e2> of ground as pup.	6
By foot on the trail, or by canoe on the river, our <e1>campers</e1> have journeyed into some spectacular <e2>wilderness</e2>.	6
After facing the hopelessness of the future, the <e1>poet</e1> sank into <e2>despair</e2>.	18
The <e1>water</e1> was drained into the second water drain <e2>tank</e2> through the connecting pipes.	6
The <e1>death</e1> of the rat caused the <e2>relocation</e2> of the flea, and if its next host just happened to be a human, then contagion was the result.	0
"The scientists placed the <e1>substance</e1> in a tiny <e2>capsule</e2> which gets channelled into cancer cells, and is then ""unpacked"" with a laser impulse."	6
The <e1>criminals</e1> that caused the <e2>fire</e2> illegally entered our country.	0
Thatch is caused by excessive <e1>growth</e1> from <e2>overfertilizing</e2>, by allowing the grass to get too high before mowing, or by incorrect watering.	1
"When Woody Harrelson received a copy of the screenplay for ""Zombieland"" last year, he stuffed the <e1>paper</e1> into his duffel <e2>bag</e2> of unread scripts and promptly forgot about it."	6
He was the author of a <e1>chronicle</e1> narrating the <e2>fortunes</e2> of the monastery.	14
<e1>Negotiations</e1> between the European Community and Greenland on a fourth <e2>protocol</e2> concerning the implementation of the agreement, were concluded at 13 September 2000.	14
A <e1>marinade</e1> that contains <e2>acid</e2>, alcohol or salt has been used for a short time.	18
The tumorous <e1>tissue</e1> was sealed in Pyrex <e2>glass tubes</e2> with a gas-oxygen flame and frozen by the procedure described previously.	6
The <e1>carbon</e1> sank into the <e2>emitter</e2>.	6
The <e1>microphone</e1> converts sound into an electrical <e2>signal</e2>.	0
The third <e1>observation</e1> was made with the Echellette <e2>spectrograph</e2>.	18
After mile 17 the <e1>course</e1> went away from the <e2>water</e2> and onto streets with trees.	18
Ji-Sung finds Jae-Young, but the <e1>striker</e1> blasts over the bar with only the <e2>keeper</e2> to beat.	18
A team of students from Virginia Tech University have created a vehicle that allows vision impaired <e1>drivers</e1> to take control of the <e2>wheel</e2>.	11
The <e1>package</e1> includes an audio and video <e2>receiver</e2> that transmits information to the plasma display.	3
"The first <e1>single release</e1> from the <e2>album</e2> was ""Africa"", a remake of the worldwide hit Africa by Toto."	8
The current <e1>debate</e1> swirling around Leather's <e2>comments</e2> seems to suggest both.	14
That claim is however exploited in the <e1>philosopher</e1>'s <e2>dialogues</e2>.	17
Historical view of the <e1>damage</e1> caused by the 1693 Catania <e2>earthquake</e2> and the reconstruction activities.	1
My vegetable garden was destroyed by a <e1>labor</e1> of <e2>moles</e2>.	13
This article includes <e1>content</e1> from the Schaff-Herzog <e2>encyclopedia</e2> of religious knowledge, 1914.	8
There were <e1>stacks</e1> of Verizon's directories piled up by <e2>entrances</e2> of buldings.	18
Senior <e1>bondholders</e1> who drafted the reorganization <e2>plan</e2> for bankrupt Six Flags revealed their investments.	17
The <e1>ladder</e1> is designed for the specific needs of the <e2>electrician</e2>.	10
The <e1>infant</e1> was born in a <e2>condition</e2> of shock and died in ten minutes.	18
Energy <e1>expenditure</e1> through physical <e2>activity</e2> is a key component in the prevention and treatment of overweight and obesity.	1
The <e1>exhibition</e1> describes the <e2>fight</e2> against the forces of nature that has been central to the history of Vasa ever since it sunk in 1628.	14
The internal <e1>proletariat</e1>, consisting of failed <e2>citizens</e2>, conquered peoples, and slaves, turn away from the aggressive conquering state.	13
In an <e1>excerpt</e1> from upcoming <e2>books</e2>, Andre Agassi says he took what he believes to be speed.	8
Saunders felt a resurgence of the <e1>panic</e1> from this <e2>morning</e2> when he'd regained consciousness in the minefield.	18
He used a real <e1>deck</e1> of <e2>cards</e2>.	13
<e1>Glaucoma</e1> is a group of neurodegenerative <e2>disorders</e2> characterized by the death of retinal ganglion cells and by a specific deformation of the optic nerve.	18
For example, during a chorus later in the <e1>song</e1>, the <e2>composer</e2> has interjected musical elements from the bridge.	16
The concepts of <e1>psychoanalysis</e1> have been applied to <e2>films</e2> in various ways.	18
The second <e1>router</e1> was in a <e2>box</e2> under the overhang of the bathrooms at the top part of the map.	4
He learnt about their <e1>divorce</e1> from a <e2>newspaper</e2>.	15
It is <e1>stardust</e1> that remains from previous <e2>cycles</e2> of evolution, cycles without a beginning or end.	8
Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.	0
I like how the <e1>device</e1> is crammed into a <e2>beaker</e2>; I view this gizmo as a metaphor for a mad scientist's brain.	4
A <e1>space shuttle</e1> travels into <e2>space</e2>.	6
A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus.	8
This pipeline has transported natural <e1>gas</e1> to the urban <e2>area</e2>.	6
They have taken this from my trousseau when something rustles beyond the staggering <e1>gambol</e1> of the shadow <e2>dancers</e2>.	18
The rest of the <e1>paragraph</e1> talks about <e2>attitude</e2> rather than syntax.	14
The halogen combines with the <e1>tungsten</e1> evaporated from the hot <e2>filament</e2> to form a compound that is attracted back to the filament, thus extending the filament's life.	8
Cornelius Gingerich sold a <e1>span</e1> of <e2>mules</e2> to Jake Ayers of Wellman last week.	13
That looked like an equally impenetrable city <e1>jungle</e1> of <e2>wagons</e2>, horses, small tents, and humanity.	13
The Nepalese government sets up a <e1>committee</e1> to inquire into the alleged <e2>misuse</e2> of diplomatic passports.	18
A <e1>copy</e1> of the survey was enclosed in the back-up materials <e2>packet</e2>.	4
It damaged some components of espresso machines and the <e1>plastics</e1> inside the <e2>machine</e2> absorbed it and started to pass on odour and taste to the espresso.	18
<e1>Engine</e1> <e2>pistons</e2> transmit the force generated by the combustion gas to the connecting rods.	3
We served a bowl of delicious <e1>soup</e1> in a <e2>dish</e2> of ivory china.	4
In this beautiful re-imagining, the <e1>story</e1> starts in an <e2>orphanage</e2> and moves to a magical land where the sweets have a sexual subtext.	8
The <e1>kitchen</e1> contained a <e2>well</e2> at the northern end and a well and two holding areas for live fish on the southern end.	3
<e1>Convulsions</e1> that occur after DTaP are caused by a <e2>fever</e2>.	1
The <e1>scan</e1> started at the rest <e2>potential</e2> toward the positive direction.	18
Pulling out a <e1>bottle</e1> with purple <e2>fluid</e2> in it, he smiled.	5
Another known connector uses the center conductor of the coaxial cable to push out the <e1>pin</e1> of the <e2>connector</e2>.	2
In the sketch at right, the electromagnet formed by the <e1>coil</e1> of the <e2>rotor</e2> is represented as a permanent magnet, and the same torque (North attracts South) is seen to be that acting to align the central magnet.	2
The diseases have rapidly spread <e1>infection</e1> to other <e2>people</e2>.	6
The <e1>title</e1> originates from an Ohioan urban <e2>myth</e2>.	8
The <e1>publication</e1> has connection to an international research <e2>project</e2>.	14
A common side effect of strict elimination after extended periods of use is <e1>headaches</e1> from <e2>caffeine withdrawal</e2>, which is also a clear sign of the addiction.	1
Leah Day attached quilt binding to the <e1>back</e1> of a <e2>quilt</e2> using a sewing machine.	2
The <e1>electricity</e1> is produced by 440 nuclear <e2>reactors</e2> in 31 countries.	1
The <e1>sections</e1> of the text that explain the <e2>scientific method</e2> are interesting and could be applied to most areas of life.	14
The theme of the <e1>speech</e1> was about <e2>dreams</e2> coming true.	14
The <e1>plane</e1> took off westbound from the small airport's southernmost <e2>runway</e2> shortly before 6 p.m.	8
This <e1>tradition</e1> has been narrated in prophet's early <e2>biographies</e2>.	15
On this oval porthole, a lace <e1>drape</e1> keeps the <e2>bathroom</e2> private while showing off the shapely window and letting in light.	2
The mobile crane can be used for demolition or earthmoving as the <e1>hook</e1> at the end of the <e2>crane</e2> can be changed to a ball or wrecking bucket, dependent on the crane hire job.	2
The <e1>bomb</e1> was contained in a large white <e2>truck</e2> and consisted of a fertilizer device wrapped with a detonation cord made from Semtex.	4
The <e1>case studies</e1> detail where <e2>refugees</e2> come from now and in the past.	14
The mentor <e1>session</e1> was the best part of the <e2>conference</e2>.	2
The <e1>hull</e1> of the <e2>boat</e2> is carved from a single piece of wood.	2
Higher doses of <e1>cocaine</e1> cause convulsions, severe maternal weight loss and increased maternal <e2>mortality</e2>.	0
The <e1>scientist</e1> approached the big cat with a <e2>notepad</e2> and a pencil in her hands.	11
The <e1>design</e1> unveiled yesterday by the <e2>architects</e2> is on a more human scale than the American and Spanish projects.	16
I put the remaining <e1>candy</e1> in my <e2>mouth</e2> and walked back the way I came, then past the village and into town.	6
We examined mood <e1>alterations</e1> through physical <e2>activity</e2> and other interventions.	1
The <e1>world</e1> is governed by mathematical <e2>laws</e2>.	18
Metals, on the other hand, reflect these radio waves, a characteristic very cleverly put to use in the <e1>walls</e1> of the <e2>microwave</e2> such that no waves escape.	2
The state <e1>machine</e1> contains six <e2>states</e2>, seven inputs, and five outputs.	3
Towne Bank, which has only one retail location, was one of those opportunistic upstarts, a <e1>bank</e1> built on a <e2>bubble</e2>.	18
The citizens remained in their houses, and only vagabonds, the <e1>scum</e1> of various <e2>nationalities</e2>, and spies were about; women were not to be seen, or only such as belonged to the dregs of society.	18
The remaining <e1>contents</e1> of the package included four ounces of <e2>plastique</e2> filled with tiny metallic slivers.	5
He derives great joy and <e1>happiness</e1> from <e2>cycling</e2>.	1
The original Waldorf <e1>salad</e1>, created at New York's Waldorf Astoria Hotel in the 1890s, contained only <e2>apples</e2>, mayonnaise, and celery.	3
Recruiting talented computer <e1>scientists</e1> from underrepresented <e2>communities</e2> is important to current and future workforce needs of the Computation Directorate as well as the Laboratory as a whole.	8
Aspergillus niger was found capable of rapidly converting about 97% of the sugar from brewery spent <e1>grain</e1> <e2>liquor</e2> to fungal mass.	9
